"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"273","PTPN22","",-0.325126205639744,0.0074,"hLCL","Talkowski et al. 2014","","No"
"274","MAP3K14","",0.279496556107159,0.0074,"hLCL","Talkowski et al. 2014","","No"
"275","ACTR8","",0.341725121175259,0.0074,"hLCL","Talkowski et al. 2014","","No"
"276","RHOBTB3","",1.17884912499417,0.0074,"hLCL","Talkowski et al. 2014","","No"
"277","CASC3","",0.298374567021257,0.0075,"hLCL","Talkowski et al. 2014","","No"
"278","SLC28A3","",-1.40142311710214,0.0075,"hLCL","Talkowski et al. 2014","","No"
"279","CCDC73","",1.80895941232578,0.0076,"hLCL","Talkowski et al. 2014","","No"
"280","FAM192A","",-0.188960168724751,0.0076,"hLCL","Talkowski et al. 2014","","No"
"281","DYNLT3","",0.438400621664598,0.0076,"hLCL","Talkowski et al. 2014","","No"
"282","MT2A","",1.1951606223792,0.0077,"hLCL","Talkowski et al. 2014","","No"
"283","SPTBN1","",0.648508990131397,0.0077,"hLCL","Talkowski et al. 2014","","No"
"284","C13orf15","",-1.49970644431726,0.00775,"hLCL","Talkowski et al. 2014","","No"
"285","RIMS3","",1.31960982826583,0.0078,"hLCL","Talkowski et al. 2014","","No"
"286","LOC440297","",0.783742654707816,0.0078,"hLCL","Talkowski et al. 2014","","No"
"287","MVP","",0.475250043394397,0.0078,"hLCL","Talkowski et al. 2014","","Yes"
"288","MYO7B","",-1.52958283475575,0.0078,"hLCL","Talkowski et al. 2014","","No"
"289","ZMYND12","",-0.792034378407748,0.0079,"hLCL","Talkowski et al. 2014","","No"
"290","MGMT","",-0.889948759979905,0.0079,"hLCL","Talkowski et al. 2014","","No"
"291","SRPK2","",0.491079285242251,0.0079,"hLCL","Talkowski et al. 2014","","No"
"292","TRIM24","",0.389846464856741,0.008,"hLCL","Talkowski et al. 2014","","No"
"293","C16orf53","",0.393933129772882,0.0081,"hLCL","Talkowski et al. 2014","","Yes"
"294","MSI2","",0.540855098968961,0.0081,"hLCL","Talkowski et al. 2014","","No"
"295","CCL25","",-1.08766011064258,0.0081,"hLCL","Talkowski et al. 2014","","No"
"296","MOBP","",-0.61932744710341,0.0081,"hLCL","Talkowski et al. 2014","","No"
"297","RABGAP1L","",-0.625970846099848,0.0083,"hLCL","Talkowski et al. 2014","","No"
"298","ELFN1","",-2.02782473590438,0.0083,"hLCL","Talkowski et al. 2014","","No"
